run_index,rho_index,rho,torflux,electron_model,species_name,charge,mass_mp,density_physical,temperature_physical,reference_species_name,reference_species_index,reference_density_physical,reference_temperature_physical,density_normalized_to_ref_ion,temperature_normalized_to_ref_ion,gradient_coordinate,gradient_scale,fprim_used,tprim_used,fprim_if_interpreted_per_torflux,tprim_if_interpreted_per_torflux,tau_e_used,Er_input
0,1,0.0875,0.007656249999999999,adiabatic,H,1.0,1.0,0.3490625,0.996875,H,1,0.3490625,0.996875,1.0,1.0,rho,1.0,0.061554839896635904,0.07187875546777185,0.3517419422664909,0.4107357455301249,0.15296378573381933,0.0
1,1,0.0875,0.007656249999999999,adiabatic,H,1.0,1.0,0.3490625,0.996875,H,1,0.3490625,0.996875,1.0,1.0,rho,1.0,0.061554839896635904,0.07187875546777185,0.3517419422664909,0.4107357455301249,0.15296378573381933,0.0
2,2,0.175,0.030624999999999996,adiabatic,H,1.0,1.0,0.34624999999999995,0.9875,H,1,0.34624999999999995,0.9875,1.0,1.0,rho,1.0,0.12411606224378424,0.1451325177463449,0.3546173206965264,0.4146643364181283,0.16498074789532077,0.0
3,2,0.175,0.030624999999999996,adiabatic,H,1.0,1.0,0.34624999999999995,0.9875,H,1,0.34624999999999995,0.9875,1.0,1.0,rho,1.0,0.12411606224378424,0.1451325177463449,0.3546173206965264,0.4146643364181283,0.16498074789532077,0.0
4,3,0.26249999999999996,0.06890624999999997,adiabatic,H,1.0,1.0,0.3415625,0.971875,H,1,0.3415625,0.971875,1.0,1.0,rho,1.0,0.18874586100846624,0.22122578388966,0.35951592573041197,0.42138244550411436,0.18844648106682826,0.0
5,3,0.26249999999999996,0.06890624999999997,adiabatic,H,1.0,1.0,0.3415625,0.971875,H,1,0.3415625,0.971875,1.0,1.0,rho,1.0,0.18874586100846624,0.22122578388966,0.35951592573041197,0.42138244550411436,0.18844648106682826,0.0
6,4,0.35,0.12249999999999998,adiabatic,H,1.0,1.0,0.33499999999999996,0.95,H,1,0.33499999999999996,0.95,1.0,1.0,rho,1.0,0.25662470730072684,0.30181460479665334,0.3666067247153241,0.4311637211380762,0.23065250379362667,0.0
7,4,0.35,0.12249999999999998,adiabatic,H,1.0,1.0,0.33499999999999996,0.95,H,1,0.33499999999999996,0.95,1.0,1.0,rho,1.0,0.25662470730072684,0.30181460479665334,0.3666067247153241,0.4311637211380762,0.23065250379362667,0.0
8,5,0.4375,0.19140625,adiabatic,H,1.0,1.0,0.3265625,0.921875,H,1,0.3265625,0.921875,1.0,1.0,rho,1.0,0.3291285244762081,0.3888769328286604,0.3761468851156664,0.4444307803756119,0.308227284971471,0.0
9,5,0.4375,0.19140625,adiabatic,H,1.0,1.0,0.3265625,0.921875,H,1,0.3265625,0.921875,1.0,1.0,rho,1.0,0.3291285244762081,0.3888769328286604,0.3761468851156664,0.4444307803756119,0.308227284971471,0.0
10,6,0.5249999999999999,0.2756249999999999,adiabatic,H,1.0,1.0,0.31625,0.8875000000000001,H,1,0.31625,0.8875000000000001,1.0,1.0,rho,1.0,0.40793189835946553,0.4848944883435365,0.3885065698661577,0.461804274612892,0.4600121482081391,0.0
11,6,0.5249999999999999,0.2756249999999999,adiabatic,H,1.0,1.0,0.31625,0.8875000000000001,H,1,0.31625,0.8875000000000001,1.0,1.0,rho,1.0,0.40793189835946553,0.4848944883435365,0.3885065698661577,0.461804274612892,0.4600121482081391,0.0
12,7,0.6124999999999999,0.3751562499999999,adiabatic,H,1.0,1.0,0.30406249999999996,0.846875,H,1,0.30406249999999996,0.846875,1.0,1.0,rho,1.0,0.4951549546354874,0.5931245353236774,0.404208126233051,0.4841832941417775,0.753382707469105,-0.0
13,7,0.6124999999999999,0.3751562499999999,adiabatic,H,1.0,1.0,0.30406249999999996,0.846875,H,1,0.30406249999999996,0.846875,1.0,1.0,rho,1.0,0.4951549546354874,0.5931245353236774,0.404208126233051,0.4841832941417775,0.753382707469105,-0.0
14,8,0.7,0.48999999999999994,adiabatic,H,1.0,1.0,0.29,0.8,H,1,0.29,0.8,1.0,1.0,rho,1.0,0.5871844602171876,0.7083926395366293,0.41941747158370546,0.5059947425261638,1.0,-0.0
15,8,0.7,0.48999999999999994,adiabatic,H,1.0,1.0,0.29,0.8,H,1,0.29,0.8,1.0,1.0,rho,1.0,0.5871844602171876,0.7083926395366293,0.41941747158370546,0.5059947425261638,1.0,-0.0
