index,rho_index,rho,torflux,Er,run_dir,config_path,output_prefix,geometry_file,response_group,response_role,perturb_kind,perturb_species,perturb_delta
0,1,0.0875,0.007656249999999999,0.0,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_001_r0p0875,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_001_r0p0875/input.toml,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_001_r0p0875/run,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_001_r0p0875/wout_w7x.eik.nc,0,base,,,0.0
1,1,0.0875,0.007656249999999999,0.0,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_001_r0p0875_fd_t_H,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_001_r0p0875_fd_t_H/input.toml,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_001_r0p0875_fd_t_H/run,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_001_r0p0875_fd_t_H/wout_w7x.eik.nc,0,perturbed,temperature_gradient,H,0.5
2,2,0.175,0.030624999999999996,0.0,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_002_r0p1750,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_002_r0p1750/input.toml,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_002_r0p1750/run,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_002_r0p1750/wout_w7x.eik.nc,1,base,,,0.0
3,2,0.175,0.030624999999999996,0.0,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_002_r0p1750_fd_t_H,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_002_r0p1750_fd_t_H/input.toml,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_002_r0p1750_fd_t_H/run,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_002_r0p1750_fd_t_H/wout_w7x.eik.nc,1,perturbed,temperature_gradient,H,0.5
4,3,0.26249999999999996,0.06890624999999997,0.0,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_003_r0p2625,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_003_r0p2625/input.toml,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_003_r0p2625/run,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_003_r0p2625/wout_w7x.eik.nc,2,base,,,0.0
5,3,0.26249999999999996,0.06890624999999997,0.0,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_003_r0p2625_fd_t_H,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_003_r0p2625_fd_t_H/input.toml,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_003_r0p2625_fd_t_H/run,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_003_r0p2625_fd_t_H/wout_w7x.eik.nc,2,perturbed,temperature_gradient,H,0.5
6,4,0.35,0.12249999999999998,0.0,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_004_r0p3500,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_004_r0p3500/input.toml,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_004_r0p3500/run,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_004_r0p3500/wout_w7x.eik.nc,3,base,,,0.0
7,4,0.35,0.12249999999999998,0.0,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_004_r0p3500_fd_t_H,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_004_r0p3500_fd_t_H/input.toml,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_004_r0p3500_fd_t_H/run,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_004_r0p3500_fd_t_H/wout_w7x.eik.nc,3,perturbed,temperature_gradient,H,0.5
8,5,0.4375,0.19140625,0.0,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_005_r0p4375,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_005_r0p4375/input.toml,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_005_r0p4375/run,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_005_r0p4375/wout_w7x.eik.nc,4,base,,,0.0
9,5,0.4375,0.19140625,0.0,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_005_r0p4375_fd_t_H,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_005_r0p4375_fd_t_H/input.toml,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_005_r0p4375_fd_t_H/run,/mnt/d/PostDocsProxima/Github_5/NEOPAX/examples/outputs/w7x_trinity3d_stage4_t_ion/runs/rho_005_r0p4375_fd_t_H/wout_w7x.eik.nc,4,perturbed,temperature_gradient,H,0.5
