theta,phi,B
0.000000000000000000e+00,0.000000000000000000e+00,9.781533808241073658e+00
0.000000000000000000e+00,1.755079694742901070e-02,9.781731304218880041e+00
0.000000000000000000e+00,3.510159389485802139e-02,9.782286630863161747e+00
0.000000000000000000e+00,5.265239084228703209e-02,9.783089512759742590e+00
0.000000000000000000e+00,7.020318778971604279e-02,9.783960131679737771e+00
0.000000000000000000e+00,8.775398473714504655e-02,9.784654901693137674e+00
0.000000000000000000e+00,1.053047816845740642e-01,9.784874193111035012e+00
0.000000000000000000e+00,1.228555786320030818e-01,9.784271668848102621e+00
0.000000000000000000e+00,1.404063755794320856e-01,9.782464834321302760e+00
0.000000000000000000e+00,1.579571725268610893e-01,9.779046361741624338e+00
0.000000000000000000e+00,1.755079694742900931e-01,9.773595733456534873e+00
0.000000000000000000e+00,1.930587664217191246e-01,9.765690757190910176e+00
0.000000000000000000e+00,2.106095633691481284e-01,9.754918537423030500e+00
0.000000000000000000e+00,2.281603603165771321e-01,9.740885539113930847e+00
0.000000000000000000e+00,2.457111572640061636e-01,9.723226448755577067e+00
0.000000000000000000e+00,2.632619542114351674e-01,9.701611618437979701e+00
0.000000000000000000e+00,2.808127511588641712e-01,9.675752965967708619e+00
0.000000000000000000e+00,2.983635481062931749e-01,9.645408292362919411e+00
0.000000000000000000e+00,3.159143450537221787e-01,9.610384061799200239e+00
0.000000000000000000e+00,3.334651420011511824e-01,9.570536763281253911e+00
0.000000000000000000e+00,3.510159389485801862e-01,9.525773033774843412e+00
0.000000000000000000e+00,3.685667358960092455e-01,9.476048766139198776e+00
0.000000000000000000e+00,3.861175328434382492e-01,9.421367450088787621e+00
0.000000000000000000e+00,4.036683297908672530e-01,9.361778000064283844e+00
0.000000000000000000e+00,4.212191267382962567e-01,9.297372311118037302e+00
0.000000000000000000e+00,4.387699236857252605e-01,9.228282754763588613e+00
0.000000000000000000e+00,4.563207206331542642e-01,9.154679784298132006e+00
0.000000000000000000e+00,4.738715175805832680e-01,9.076769767273260570e+00
