theta,phi,B
0.000000000000000000e+00,0.000000000000000000e+00,2.585268423529938908e-01
0.000000000000000000e+00,1.755079694742901070e-02,2.585252425737533111e-01
0.000000000000000000e+00,3.510159389485802139e-02,2.585205461933048898e-01
0.000000000000000000e+00,5.265239084228703209e-02,2.585130550718482967e-01
0.000000000000000000e+00,7.020318778971604279e-02,2.585032494084688048e-01
0.000000000000000000e+00,8.775398473714504655e-02,2.584917550055407243e-01
0.000000000000000000e+00,1.053047816845740642e-01,2.584793005598270410e-01
0.000000000000000000e+00,1.228555786320030818e-01,2.584666678484766611e-01
0.000000000000000000e+00,1.404063755794320856e-01,2.584546381559296169e-01
0.000000000000000000e+00,1.579571725268610893e-01,2.584439385416522628e-01
0.000000000000000000e+00,1.755079694742900931e-01,2.584351915621349027e-01
0.000000000000000000e+00,1.930587664217191246e-01,2.584288718333188073e-01
0.000000000000000000e+00,2.106095633691481284e-01,2.584252723675037888e-01
0.000000000000000000e+00,2.281603603165771321e-01,2.584244829726808357e-01
0.000000000000000000e+00,2.457111572640061636e-01,2.584263822059600368e-01
0.000000000000000000e+00,2.632619542114351674e-01,2.584306434799274466e-01
0.000000000000000000e+00,2.808127511588641712e-01,2.584367549911094630e-01
0.000000000000000000e+00,2.983635481062931749e-01,2.584440522350847647e-01
0.000000000000000000e+00,3.159143450537221787e-01,2.584517610528443421e-01
0.000000000000000000e+00,3.334651420011511824e-01,2.584590484712565583e-01
0.000000000000000000e+00,3.510159389485801862e-01,2.584650781008454024e-01
0.000000000000000000e+00,3.685667358960092455e-01,2.584690665677720767e-01
0.000000000000000000e+00,3.861175328434382492e-01,2.584703374007260024e-01
0.000000000000000000e+00,4.036683297908672530e-01,2.584683689686783636e-01
0.000000000000000000e+00,4.212191267382962567e-01,2.584628334580775788e-01
0.000000000000000000e+00,4.387699236857252605e-01,2.584536244598101273e-01
0.000000000000000000e+00,4.563207206331542642e-01,2.584408714667881801e-01
0.000000000000000000e+00,4.738715175805832680e-01,2.584249404127783034e-01
0.000000000000000000e+00,4.914223145280123273e-01,2.584064202568234769e-01
0.000000000000000000e+00,5.089731114754413310e-01,2.583860964781187763e-01
0.000000000000000000e+00,5.265239084228703348e-01,2.583649131382442232e-01
0.000000000000000000e+00,5.440747053702993385e-01,2.583439258416047601e-01
0.000000000000000000e+00,5.616255023177283423e-01,2.583242484399375649e-01
0.000000000000000000e+00,5.791762992651573461e-01,2.583069966533140249e-01
0.000000000000000000e+00,5.967270962125863498e-01,2.582932319017506861e-01
0.000000000000000000e+00,6.142778931600153536e-01,2.582839085557391834e-01
0.000000000000000000e+00,6.318286901074443573e-01,2.582798275317084724e-01
