theta,phi,B
0.000000000000000000e+00,0.000000000000000000e+00,2.705875042131417274e+00
0.000000000000000000e+00,7.020318778971604452e-03,2.706313547727130953e+00
0.000000000000000000e+00,1.404063755794320890e-02,2.707553507507201918e+00
0.000000000000000000e+00,2.106095633691481422e-02,2.709378446445253275e+00
0.000000000000000000e+00,2.808127511588641781e-02,2.711460258135955037e+00
0.000000000000000000e+00,3.510159389485802139e-02,2.713403842266850052e+00
0.000000000000000000e+00,4.212191267382962845e-02,2.714801386557367024e+00
0.000000000000000000e+00,4.914223145280122856e-02,2.715289340288781883e+00
0.000000000000000000e+00,5.616255023177283562e-02,2.714600757310128731e+00
0.000000000000000000e+00,6.318286901074443573e-02,2.712606240995077300e+00
0.000000000000000000e+00,7.020318778971604279e-02,2.709338132135283406e+00
0.000000000000000000e+00,7.722350656868764984e-02,2.704994665767261885e+00
0.000000000000000000e+00,8.424382534765925690e-02,2.699923322057477204e+00
0.000000000000000000e+00,9.126414412663086395e-02,2.694585195530800448e+00
0.000000000000000000e+00,9.828446290560245713e-02,2.689504580095766428e+00
0.000000000000000000e+00,1.053047816845740642e-01,2.685209817715717318e+00
0.000000000000000000e+00,1.123251004635456712e-01,2.682172556038080913e+00
0.000000000000000000e+00,1.193454192425172783e-01,2.680752770105319538e+00
0.000000000000000000e+00,1.263657380214888715e-01,2.681156202758155249e+00
0.000000000000000000e+00,1.333860568004604785e-01,2.683409359192286292e+00
0.000000000000000000e+00,1.404063755794320856e-01,2.687355047158464405e+00
0.000000000000000000e+00,1.474266943584036926e-01,2.692668956285595439e+00
0.000000000000000000e+00,1.544470131373752997e-01,2.698895230904064135e+00
0.000000000000000000e+00,1.614673319163469067e-01,2.705496725721542095e+00
0.000000000000000000e+00,1.684876506953185138e-01,2.711913920239175990e+00
0.000000000000000000e+00,1.755079694742901208e-01,2.717625510939203792e+00
0.000000000000000000e+00,1.825282882532617279e-01,2.722203607496559652e+00
0.000000000000000000e+00,1.895486070322333072e-01,2.725357228095858453e+00
0.000000000000000000e+00,1.965689258112049143e-01,2.726959308848508012e+00
0.000000000000000000e+00,2.035892445901765213e-01,2.727054510486809136e+00
0.000000000000000000e+00,2.106095633691481284e-01,2.725847454267593228e+00
0.000000000000000000e+00,2.176298821481197354e-01,2.723673351128934161e+00
0.000000000000000000e+00,2.246502009270913425e-01,2.720955015432209301e+00
