theta,phi,B
0.000000000000000000e+00,0.000000000000000000e+00,2.847169372463265180e+00
0.000000000000000000e+00,7.020318778971604452e-03,2.846917783988335948e+00
0.000000000000000000e+00,1.404063755794320890e-02,2.846165735028661992e+00
0.000000000000000000e+00,2.106095633691481422e-02,2.844921347132865375e+00
0.000000000000000000e+00,2.808127511588641781e-02,2.843198058323777477e+00
0.000000000000000000e+00,3.510159389485802139e-02,2.841014459777326362e+00
0.000000000000000000e+00,4.212191267382962845e-02,2.838394038483271320e+00
0.000000000000000000e+00,4.914223145280122856e-02,2.835364806307342889e+00
0.000000000000000000e+00,5.616255023177283562e-02,2.831958801218451338e+00
0.000000000000000000e+00,6.318286901074443573e-02,2.828211456794597289e+00
0.000000000000000000e+00,7.020318778971604279e-02,2.824160849817253016e+00
0.000000000000000000e+00,7.722350656868764984e-02,2.819846850402637717e+00
0.000000000000000000e+00,8.424382534765925690e-02,2.815310212006325585e+00
0.000000000000000000e+00,9.126414412663086395e-02,2.810591647311636798e+00
0.000000000000000000e+00,9.828446290560245713e-02,2.805730938721191503e+00
0.000000000000000000e+00,1.053047816845740642e-01,2.800766128234967400e+00
0.000000000000000000e+00,1.123251004635456712e-01,2.795732821461726747e+00
0.000000000000000000e+00,1.193454192425172783e-01,2.790663626069324277e+00
0.000000000000000000e+00,1.263657380214888715e-01,2.785587728672482388e+00
0.000000000000000000e+00,1.333860568004604785e-01,2.780530598899455974e+00
0.000000000000000000e+00,1.404063755794320856e-01,2.775513797900884150e+00
0.000000000000000000e+00,1.474266943584036926e-01,2.770554862879660352e+00
0.000000000000000000e+00,1.544470131373752997e-01,2.765667240220605727e+00
0.000000000000000000e+00,1.614673319163469067e-01,2.760860247059322425e+00
0.000000000000000000e+00,1.684876506953185138e-01,2.756139052970589365e+00
0.000000000000000000e+00,1.755079694742901208e-01,2.751504687252936066e+00
0.000000000000000000e+00,1.825282882532617279e-01,2.746954089972502455e+00
0.000000000000000000e+00,1.895486070322333072e-01,2.742480233604968731e+00
0.000000000000000000e+00,1.965689258112049143e-01,2.738072344628615706e+00
0.000000000000000000e+00,2.035892445901765213e-01,2.733716249826262601e+00
0.000000000000000000e+00,2.106095633691481284e-01,2.729394860821440449e+00
0.000000000000000000e+00,2.176298821481197354e-01,2.725088794340943643e+00
0.000000000000000000e+00,2.246502009270913425e-01,2.720777107726406463e+00
0.000000000000000000e+00,2.316705197060629495e-01,2.716438112653965842e+00
0.000000000000000000e+00,2.386908384850345566e-01,2.712050218027628024e+00
0.000000000000000000e+00,2.457111572640061636e-01,2.707592747935717803e+00
0.000000000000000000e+00,2.527314760429777429e-01,2.703046683449744414e+00
0.000000000000000000e+00,2.597517948219493777e-01,2.698395287420039423e+00
0.000000000000000000e+00,2.667721136009209570e-01,2.693624587351059585e+00
0.000000000000000000e+00,2.737924323798925919e-01,2.688723709912662407e+00
0.000000000000000000e+00,2.808127511588641712e-01,2.683685078177927341e+00
0.000000000000000000e+00,2.878330699378358060e-01,2.678504496021627990e+00
0.000000000000000000e+00,2.948533887168073853e-01,2.673181150914523574e+00
