theta,phi,B
0.000000000000000000e+00,0.000000000000000000e+00,2.829626680303386266e+00
0.000000000000000000e+00,7.020318778971604452e-03,2.829471333701996105e+00
0.000000000000000000e+00,1.404063755794320890e-02,2.829006336851903392e+00
0.000000000000000000e+00,2.106095633691481422e-02,2.828234855696015515e+00
0.000000000000000000e+00,2.808127511588641781e-02,2.827162284076495613e+00
0.000000000000000000e+00,3.510159389485802139e-02,2.825796398358334738e+00
0.000000000000000000e+00,4.212191267382962845e-02,2.824147534354711109e+00
0.000000000000000000e+00,4.914223145280122856e-02,2.822228753538396973e+00
0.000000000000000000e+00,5.616255023177283562e-02,2.820055964214129407e+00
0.000000000000000000e+00,6.318286901074443573e-02,2.817647966243382207e+00
0.000000000000000000e+00,7.020318778971604279e-02,2.815026394363051576e+00
0.000000000000000000e+00,7.722350656868764984e-02,2.812215543962259812e+00
0.000000000000000000e+00,8.424382534765925690e-02,2.809242072986128047e+00
0.000000000000000000e+00,9.126414412663086395e-02,2.806134583058171206e+00
0.000000000000000000e+00,9.828446290560245713e-02,2.802923090858052024e+00
0.000000000000000000e+00,1.053047816845740642e-01,2.799638406596024254e+00
0.000000000000000000e+00,1.123251004635456712e-01,2.796311439929688447e+00
0.000000000000000000e+00,1.193454192425172783e-01,2.792972455178187374e+00
0.000000000000000000e+00,1.263657380214888715e-01,2.789650297847960925e+00
0.000000000000000000e+00,1.333860568004604785e-01,2.786371614087351123e+00
0.000000000000000000e+00,1.404063755794320856e-01,2.783160084478878638e+00
0.000000000000000000e+00,1.474266943584036926e-01,2.780035694073702768e+00
0.000000000000000000e+00,1.544470131373752997e-01,2.777014061942149059e+00
0.000000000000000000e+00,1.614673319163469067e-01,2.774105855542520427e+00
0.000000000000000000e+00,1.684876506953185138e-01,2.771316317338107016e+00
0.000000000000000000e+00,1.755079694742901208e-01,2.768644932521985957e+00
0.000000000000000000e+00,1.825282882532617279e-01,2.766085266554737743e+00
0.000000000000000000e+00,1.895486070322333072e-01,2.763624998670685784e+00
0.000000000000000000e+00,1.965689258112049143e-01,2.761246171979327535e+00
0.000000000000000000e+00,2.035892445901765213e-01,2.758925672044770572e+00
0.000000000000000000e+00,2.106095633691481284e-01,2.756635934054610271e+00
0.000000000000000000e+00,2.176298821481197354e-01,2.754345864529034404e+00
0.000000000000000000e+00,2.246502009270913425e-01,2.752021948030489273e+00
0.000000000000000000e+00,2.316705197060629495e-01,2.749629493915566769e+00
0.000000000000000000e+00,2.386908384850345566e-01,2.747133964439634202e+00
0.000000000000000000e+00,2.457111572640061636e-01,2.744502315138194870e+00
0.000000000000000000e+00,2.527314760429777429e-01,2.741704272865145953e+00
0.000000000000000000e+00,2.597517948219493777e-01,2.738713477293643450e+00
0.000000000000000000e+00,2.667721136009209570e-01,2.735508418639331474e+00
0.000000000000000000e+00,2.737924323798925919e-01,2.732073117696242726e+00
0.000000000000000000e+00,2.808127511588641712e-01,2.728397513053721468e+00
0.000000000000000000e+00,2.878330699378358060e-01,2.724477542927556506e+00
0.000000000000000000e+00,2.948533887168073853e-01,2.720314933154866388e+00
0.000000000000000000e+00,3.018737074957789646e-01,2.715916726024171002e+00
0.000000000000000000e+00,3.088940262747505994e-01,2.711294604213743131e+00
0.000000000000000000e+00,3.159143450537221787e-01,2.706464078039725329e+00
0.000000000000000000e+00,3.229346638326938135e-01,2.701443610998318867e+00
0.000000000000000000e+00,3.299549826116653928e-01,2.696253757644992088e+00
0.000000000000000000e+00,3.369753013906370276e-01,2.690916379578411899e+00
0.000000000000000000e+00,3.439956201696086069e-01,2.685453990969286941e+00
0.000000000000000000e+00,3.510159389485802417e-01,2.679889266656974023e+00
0.000000000000000000e+00,3.580362577275518210e-01,2.674244725661651056e+00
0.000000000000000000e+00,3.650565765065234558e-01,2.668542583386623868e+00
0.000000000000000000e+00,3.720768952854950351e-01,2.662804748876562044e+00
0.000000000000000000e+00,3.790972140644666144e-01,2.657052930780396505e+00
0.000000000000000000e+00,3.861175328434382492e-01,2.651308807998047357e+00
0.000000000000000000e+00,3.931378516224098285e-01,2.645594218546259313e+00
0.000000000000000000e+00,4.001581704013814633e-01,2.639931322547703907e+00
0.000000000000000000e+00,4.071784891803530426e-01,2.634342701588960889e+00
