theta,phi,B
0.000000000000000000e+00,0.000000000000000000e+00,2.701959421044570764e+00
0.000000000000000000e+00,7.020318778971604452e-03,2.702460329969656350e+00
0.000000000000000000e+00,1.404063755794320890e-02,2.703874681263791491e+00
0.000000000000000000e+00,2.106095633691481422e-02,2.705949371787596647e+00
0.000000000000000000e+00,2.808127511588641781e-02,2.708301086612015407e+00
0.000000000000000000e+00,3.510159389485802139e-02,2.710468845063367826e+00
0.000000000000000000e+00,4.212191267382962845e-02,2.711977779577769532e+00
0.000000000000000000e+00,4.914223145280122856e-02,2.712405887810516170e+00
0.000000000000000000e+00,5.616255023177283562e-02,2.711445095647192272e+00
0.000000000000000000e+00,6.318286901074443573e-02,2.708948675233263881e+00
0.000000000000000000e+00,7.020318778971604279e-02,2.704958784986531750e+00
0.000000000000000000e+00,7.722350656868764984e-02,2.699710414637610079e+00
0.000000000000000000e+00,8.424382534765925690e-02,2.693611003644109658e+00
0.000000000000000000e+00,9.126414412663086395e-02,2.687198073294725376e+00
0.000000000000000000e+00,9.828446290560245713e-02,2.681079980059977164e+00
0.000000000000000000e+00,1.053047816845740642e-01,2.675867010503290455e+00
0.000000000000000000e+00,1.123251004635456712e-01,2.672101232944799065e+00
0.000000000000000000e+00,1.193454192425172783e-01,2.670193654162142938e+00
0.000000000000000000e+00,1.263657380214888715e-01,2.670376293613739627e+00
0.000000000000000000e+00,1.333860568004604785e-01,2.672674912083649268e+00
0.000000000000000000e+00,1.404063755794320856e-01,2.676905563332279581e+00
0.000000000000000000e+00,1.474266943584036926e-01,2.682695208002376042e+00
0.000000000000000000e+00,1.544470131373752997e-01,2.689523711212217005e+00
0.000000000000000000e+00,1.614673319163469067e-01,2.696782003874424127e+00
0.000000000000000000e+00,1.684876506953185138e-01,2.703839333405305023e+00
0.000000000000000000e+00,1.755079694742901208e-01,2.710111579595374742e+00
0.000000000000000000e+00,1.825282882532617279e-01,2.715122664314121081e+00
0.000000000000000000e+00,1.895486070322333072e-01,2.718552108580902793e+00
0.000000000000000000e+00,1.965689258112049143e-01,2.720263634333733638e+00
0.000000000000000000e+00,2.035892445901765213e-01,2.720312118489455422e+00
0.000000000000000000e+00,2.106095633691481284e-01,2.718928866769239061e+00
0.000000000000000000e+00,2.176298821481197354e-01,2.716487745635641993e+00
0.000000000000000000e+00,2.246502009270913425e-01,2.713456876383854688e+00
0.000000000000000000e+00,2.316705197060629495e-01,2.710342102263979314e+00
0.000000000000000000e+00,2.386908384850345566e-01,2.707629126877289849e+00
0.000000000000000000e+00,2.457111572640061636e-01,2.705731039857266040e+00
0.000000000000000000e+00,2.527314760429777429e-01,2.704946956627138466e+00
0.000000000000000000e+00,2.597517948219493777e-01,2.705435865497198833e+00
0.000000000000000000e+00,2.667721136009209570e-01,2.707207734839302660e+00
0.000000000000000000e+00,2.737924323798925919e-01,2.710131763186328424e+00
0.000000000000000000e+00,2.808127511588641712e-01,2.713959635545119653e+00
0.000000000000000000e+00,2.878330699378358060e-01,2.718360024870273506e+00
0.000000000000000000e+00,2.948533887168073853e-01,2.722959528073301438e+00
0.000000000000000000e+00,3.018737074957789646e-01,2.727384845070458308e+00
0.000000000000000000e+00,3.088940262747505994e-01,2.731301297829874741e+00
0.000000000000000000e+00,3.159143450537221787e-01,2.734443656896813124e+00
0.000000000000000000e+00,3.229346638326938135e-01,2.736636537455441331e+00
0.000000000000000000e+00,3.299549826116653928e-01,2.737803142866878314e+00
0.000000000000000000e+00,3.369753013906370276e-01,2.737962654000488438e+00
